  n        t          u^n          v^n      u^(n+1)      v^(n+1)           y(t)        error
  0   0.0000     0.010000     1.000000     0.110000     0.400000       0.010000 0.000000e+00
  1   0.1000     0.110000     0.400000     0.150000    -0.900000       0.072340 3.766000e-02
  2   0.2000     0.150000    -0.900000     0.060000    -1.950000       0.057794 9.220617e-02
  3   0.3000     0.060000    -1.950000    -0.135000    -1.575000       0.007142 5.285812e-02
  4   0.4000    -0.135000    -1.575000    -0.292500     0.562500      -0.028749 -1.062509e-01
  5   0.5000    -0.292500     0.562500    -0.236250     3.206250      -0.029710 -2.627895e-01
  6   0.6000    -0.236250     3.206250     0.084375     3.965625      -0.008790 -2.274599e-01
  7   0.7000     0.084375     3.965625     0.480938     1.139062       0.010261 7.411427e-02
  8   0.8000     0.480938     1.139062     0.594844    -4.239844       0.014389 4.665482e-01
  9   0.9000     0.594844    -4.239844     0.170859    -8.068359       0.006479 5.883649e-01
 10   1.0000     0.170859    -8.068359    -0.635977    -5.742773      -0.003008 1.738676e-01
 11   1.1000    -0.635977    -5.742773    -1.210254     3.488379      -0.006585 -6.293914e-01
 12   1.2000    -1.210254     3.488379    -0.861416    13.846729      -0.003989 -1.206265e+00
 13   1.3000    -0.861416    13.846729     0.523257    15.537524       0.000473 -8.618891e-01
 14   1.4000     0.523257    15.537524     2.077009     2.536194       0.002837 5.204200e-01
 15   1.5000     2.077009     2.536194     2.330629   -19.501996       0.002217 2.074792e+00
 16   1.6000     2.330629   -19.501996     0.380429   -33.057285       0.000237 2.330392e+00
 17   1.7000     0.380429   -33.057285    -2.925299   -20.332933      -0.001136 3.815650e-01
 18   1.8000    -2.925299   -20.332933    -4.958593    19.086527      -0.001146 -2.924153e+00
 19   1.9000    -4.958593    19.086527    -3.049940    59.129190      -0.000323 -4.958270e+00
 20   2.0000    -3.049940    59.129190     2.862979    60.063995       0.000410 -3.050350e+00
 21   2.1000     2.862979    60.063995     8.869379     1.402207       0.000558 2.862421e+00
 22   2.2000     8.869379     1.402207     9.009599   -87.992682       0.000244 8.869135e+00
 23   2.3000     9.009599   -87.992682     0.210331  -134.092333      -0.000123 9.009722e+00
 24   2.4000     0.210331  -134.092333   -13.198902   -69.149476      -0.000257 2.105876e-01
 25   2.5000   -13.198902   -69.149476   -20.113850    97.414285      -0.000152 -1.319875e+01
 26   2.6000   -20.113850    97.414285   -10.372421   249.845643       0.000022 -2.011387e+01
 27   2.7000   -10.372421   249.845643    14.612143   228.647036       0.000111 -1.037253e+01
 28   2.8000    14.612143   228.647036    37.476846   -31.797910       0.000085 1.461206e+01
 29   2.9000    37.476846   -31.797910    34.297055  -390.667419       0.000008 3.747684e+01
 30   3.0000    34.297055  -390.667419    -4.769687  -538.304264      -0.000045 3.429710e+01
 31   3.1000    -4.769687  -538.304264   -58.600113  -221.455267      -0.000044 -4.769642e+00
 32   3.2000   -58.600113  -221.455267   -80.745640   475.273495      -0.000012 -5.860010e+01
 33   3.3000   -80.745640   475.273495   -33.218290  1045.093143       0.000016 -8.074566e+01
 34   3.4000   -33.218290  1045.093143    71.291024   854.729472       0.000022 -3.321831e+01
 35   3.5000    71.291024   854.729472   156.763971  -285.545507       0.000009 7.129102e+01
 36   3.6000   156.763971  -285.545507   128.209421 -1710.412468      -0.000005 1.567640e+02
 37   3.7000   128.209421 -1710.412468   -42.831826 -2137.300442      -0.000010 1.282094e+02
 38   3.8000   -42.831826 -2137.300442  -256.561870  -640.331960      -0.000006 -4.283182e+01
 39   3.9000  -256.561870  -640.331960  -320.595066  2245.452722       0.000001 -2.565619e+02
 40   4.0000  -320.595066  2245.452722   -96.049794  4328.677024       0.000004 -3.205951e+02
 41   4.1000   -96.049794  4328.677024   336.817908  3124.836453       0.000003 -9.604980e+01
 42   4.2000   336.817908  3124.836453   649.301554 -1805.760857       0.000000 3.368179e+02
 43   4.3000   649.301554 -1805.760857   468.725468 -7395.895965      -0.000002 6.493016e+02
 44   4.4000   468.725468 -7395.895965  -270.864129 -8385.202661      -0.000002 4.687255e+02
 45   4.5000  -270.864129 -8385.202661 -1109.384395 -1483.960045      -0.000000 -2.708641e+02
 46   4.6000 -1109.384395 -1483.960045 -1257.780399 10351.863925       0.000001 -1.109384e+03
 47   4.7000 -1257.780399 10351.863925  -222.594007 17753.735955       0.000001 -1.257780e+03
 48   4.8000  -222.594007 17753.735955  1552.779589 11102.808045       0.000000 -2.225940e+02
 49   4.9000  1552.779589 11102.808045  2663.060393 -9976.391865      -0.000000 1.552780e+03
 50   5.0000  2663.060393 -9976.391865  1665.421207 -31618.799865      -0.000000 2.663060e+03
 51   5.1000  1665.421207 -31618.799865 -1496.458780 -32463.611999      -0.000000 1.665421e+03
 52   5.2000 -1496.458780 -32463.611999 -4742.819980 -1267.218201       0.000000 -1.496459e+03
 53   5.3000 -4742.819980 -1267.218201 -4869.541800 46794.590697       0.000000 -4.742820e+03
 54   5.4000 -4869.541800 46794.590697  -190.082730 72092.713347       0.000000 -4.869542e+03
 55   5.5000  -190.082730 72092.713347  7019.188605 37947.183976       0.000000 -1.900827e+02
 56   5.6000  7019.188605 37947.183976 10813.907002 -51218.294057      -0.000000 7.019189e+03
 57   5.7000 10813.907002 -51218.294057  5692.077596 -133748.217049      -0.000000 1.081391e+04
 58   5.8000  5692.077596 -133748.217049 -7682.744109 -123794.884488      -0.000000 5.692078e+03
 59   5.9000 -7682.744109 -123794.884488 -20062.232557 14929.998842       0.000000 -7.682744e+03
 60   6.0000 -20062.232557 14929.998842 -18569.232673 208087.324995       0.000000 -2.006223e+04
