  n        t          u^n          v^n      u^(n+1)      v^(n+1)
  0   0.0000     0.010000     1.000000     0.060000     0.721625
  1   0.0500     0.060000     0.721625     0.096081     0.450428
  2   0.1000     0.096081     0.450428     0.118603     0.074789
  3   0.1500     0.118603     0.074789     0.122342    -0.399925
  4   0.2000     0.122342    -0.399925     0.102346    -0.785969
  5   0.2500     0.102346    -0.785969     0.063047    -0.869821
  6   0.3000     0.063047    -0.869821     0.019556    -0.712975
  7   0.3500     0.019556    -0.712975    -0.016092    -0.524888
  8   0.4000    -0.016092    -0.524888    -0.042337    -0.374473
  9   0.4500    -0.042337    -0.374473    -0.061060    -0.239292
 10   0.5000    -0.061060    -0.239292    -0.073025    -0.097491
 11   0.5500    -0.073025    -0.097491    -0.077900     0.049494
 12   0.6000    -0.077900     0.049494    -0.075425     0.178407
 13   0.6500    -0.075425     0.178407    -0.066505     0.260187
 14   0.7000    -0.066505     0.260187    -0.053495     0.282953
 15   0.7500    -0.053495     0.282953    -0.039348     0.260131
 16   0.8000    -0.039348     0.260131    -0.026341     0.216121
 17   0.8500    -0.026341     0.216121    -0.015535     0.169488
 18   0.9000    -0.015535     0.169488    -0.007061     0.128671
 19   0.9500    -0.007061     0.128671    -0.000627     0.095581
